morphind	root_morphind	root_pos_morphind	affix_morphind	affix_morphind_wclass	pref_morphind	suff_morphind	verb_tagged	n
ber+gereja<n>_VSA	gereja	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+gitar<n>_VSA	gitar	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+gorden<n>_VSA	gorden	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+grafik<n>_VSA	grafik	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+halimun<n>_VSA	halimun	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+hikayat<n>_VSA	hikayat	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+hikmah<n>_VSA	hikmah	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+husnudzhan<n>_VSA	husnudzhan	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+ibukota<n>_VSA	ibukota	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+ilusi<n>_VSA	ilusi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+interseksi<n>_VSA	interseksi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+isbn<n>_VSA	isbn	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+islam<n>_VSA	islam	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+isyarat<n>_VSA	isyarat	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+jam<n>_VSA	jam	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+jambang<n>_VSA	jambang	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+jeda<n>_VSA	jeda	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kabel<n>_VSA	kabel	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kasih<n>_VSA	kasih	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kemul<n>_VSA	kemul	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+keramik<n>_VSA	keramik	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kerlip<n>_VSA	kerlip	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+khitan<n>_VSA	khitan	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+klorofil<n>_VSA	klorofil	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kompensasi<n>_VSA	kompensasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kompresi<n>_VSA	kompresi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kondisi<n>_VSA	kondisi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kongres<n>_VSA	kongres	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+koperasi<n>_VSA	koperasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kotak<n>_VSA	kotak	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kreatifitas<n>_VSA	kreatifitas	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kredit<n>_VSA	kredit	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kubik<n>_VSA	kubik	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kunci<n>_VSA	kunci	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kuping<n>_VSA	kuping	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+kursi<n>_VSA	kursi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+laki<n>_VSA	laki	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+lelucon<n>_VSA	lelucon	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+lingkup<n>_VSA	lingkup	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+liontin<n>_VSA	liontin	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+liuk<n>_VSA	liuk	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+lobang<n>_VSA	lobang	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+majas<n>_VSA	majas	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+manajemen<n>_VSA	manajemen	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+mani<n>_VSA	mani	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+material<n>_VSA	material	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+melodi<n>_VSA	melodi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+mentari<n>_VSA	mentari	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+oksigen<n>_VSA	oksigen	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+oplah<n>_VSA	oplah	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+palang<n>_VSA	palang	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pancasila<n>_VSA	pancasila	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pantat<n>_VSA	pantat	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+parfum<n>_VSA	parfum	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pati<n>_VSA	pati	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pekan<n>_VSA	pekan	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pencu<n>_VSA	pencu	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+penetrasi<n>_VSA	penetrasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pentas<n>_VSA	pentas	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+piama<n>_VSA	piama	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pigura<n>_VSA	pigura	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pilar<n>_VSA	pilar	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pipa<n>_VSA	pipa	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+plester<n>_VSA	plester	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+pohon<n>_VSA	pohon	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+ponsel<n>_VSA	ponsel	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+populasi<n>_VSA	populasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+potensial<n>_VSA	potensial	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+presentasi<n>_VSA	presentasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+punuk<n>_VSA	punuk	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+radius<n>_VSA	radius	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+rahim<n>_VSA	rahim	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+referensi<n>_VSA	referensi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+reformasi<n>_VSA	reformasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+regenerasi<n>_VSA	regenerasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+reinkarnasi<n>_VSA	reinkarnasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+relief<n>_VSA	relief	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+ring<n>_VSA	ring	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+sanggul<n>_VSA	sanggul	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+sanksi<n>_VSA	sanksi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+segel<n>_VSA	segel	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+sel<n>_VSA	sel	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+selawat<n>_VSA	selawat	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+serabut<n>_VSA	serabut	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+stempel<n>_VSA	stempel	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+suluh<n>_VSA	suluh	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+susu<n>_VSA	susu	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+swasembada<n>_VSA	swasembada	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+tafakur<n>_VSA	tafakur	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+tandan<n>_VSA	tandan	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+tayub<n>_VSA	tayub	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+telinga<n>_VSA	telinga	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+teluk<n>_VSA	teluk	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+tirai<n>_VSA	tirai	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+tungkai<n>_VSA	tungkai	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+umbi<n>_VSA	umbi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+unta<n>_VSA	unta	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+upah<n>_VSA	upah	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+vakansi<n>_VSA	vakansi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+valensi<n>_VSA	valensi	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+wadah<n>_VSA	wadah	n	ber-_0	ber-_n_0	ber-	0	TRUE	2
ber+DPR<n>_VSA	DPR	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+NEM<n>_VSA	NEM	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+SIM<n>_VSA	SIM	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aerobik<n>_VSA	aerobik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+agenda<n>_VSA	agenda	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+ajojing<n>_VSA	ajojing	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aksentuasi<n>_VSA	aksentuasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+akses<n>_VSA	akses	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+akurasi<n>_VSA	akurasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+alfabet<n>_VSA	alfabet	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+alga<n>_VSA	alga	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+alias<n>_VSA	alias	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+alun<n>_VSA	alun	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+anak<n>_VSADASHcucu<n>_NSD	anak pinak	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aneka<a>_VSADASHmacam<n>_NSD	aneka macam	n	ber-_n_0	ber-_a_0	ber-	0	TRUE	1
ber+aneka<a>_VSADASHragam<n>_NSD	aneka ragam	n	ber-_n_0	ber-_a_0	ber-	0	TRUE	1
ber+aneka<a>_VSADASHrupa<n>_NSD	aneka rupa	n	ber-_n_0	ber-_a_0	ber-	0	TRUE	1
ber+angsa<n>_VSA	angsa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+antena<n>_VSA	antena	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+arsitek<n>_VSA	arsitek	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+asalusul<n>_VSA	asalusul	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aset<n>_VSA	aset	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+asmara<n>_VSA	asmara	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aspal<n>_VSA	aspal	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+aura<n>_VSA	aura	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+awal<n>_VSADASHdari<r>_R--DASHkarir<n>_NSDDASHsebagai<r>_R--	awal	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+ayam<n>_VSA	ayam	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+azam<n>_VSA	azam	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+azan<n>_VSA	azan	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bagi<n>_VSADASHke+mampu<a>+an_NSD	bagi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bagi<n>_VSADASHlokasi<n>_NSDDASHterkini<a>_ASP	bagi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bagi<n>_VSADASHpakai<v>_VSA	bagi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bagi<n>_VSADASHrisiko<n>_NSD	bagi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bahtera<n>_VSA	bahtera	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bandana<n>_VSA	bandana	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+banderol<n>_VSA	banderol	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bapa<n>_VSA	bapa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+basa basi<n>_VSA	basa basi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bata<n>_VSA	bata	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+batik<n>_VSA	batik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+batu<n>_VSADASHber+lumpur<n>_VSA	batu	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bayang<n>_VSA	bayang	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+beban<n>_VSA	beban	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+beda<a>_VSADASHbagi<r>_R--	beda	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+beda<a>_VSADASHdalam<a>_ASP	beda	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+belangkon<n>_VSA	belangkon	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+belas kasih<n>_VSA	belas kasih	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+belukar<n>_VSA	belukar	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+berita<n>_VSA	berita	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+besan<n>_VSA	besan	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bilik<n>_VSA	bilik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+biola<n>_VSA	biola	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+blok<n>_VSA	blok	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+bulan madu<n>_VSA	bulan madu	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cadas<n>_VSA	cadas	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cahaya<n>_VSADASHmungkin<d>_D--	cahaya	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+campursari<n>_VSA	campursari	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+capil<n>_VSA	capil	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cc<n>_VSA	cc	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cemara<n>_VSA	cemara	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cerita<n>_VSADASHdengan<r>_R--	cerita	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cerita<n>_VSADASHentah<i>_I--	cerita	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cincin<n>_VSA	cincin	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cip<n>_VSA	cip	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cita<n>_VSADASHrasa<n>_NSD	cita rasa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+citra<n>_VSA	citra	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+citra<n>_VSADASHria<n>_NSD	citra	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+congek<n>_VSA	congek	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+cuaca<n>_VSA	cuaca	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dangdut<n>_VSA	dangdut	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+daya cipta<n>_VSA	daya cipta	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+daya kuasa<n>_VSA	daya kuasa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dayung<n>_VSA	dayung	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+decap<n>_VSA	decap	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+degenerasi<n>_VSA	degenerasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dekade<n>_VSA	dekade	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dencit<n>_VSA	dencit	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dendam<n>_VSA	dendam	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dengus<n>_VSA	dengus	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+derak<n>_VSA	derak	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+derum<n>_VSA	derum	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+desah<n>_VSA	desah	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+detik<n>_VSA	detik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+diaspora<n>_VSA	diaspora	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+diftong<n>_VSA	diftong	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+digraf<n>_VSA	digraf	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+diri<n>_VSADASHsendiri<a>_ASP	diri	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dokumentasi<n>_VSA	dokumentasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+drainase<n>_VSA	drainase	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+duka kecewa<n>_VSA	duka kecewa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dukun<n>_VSA	dukun	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+duplikasi<a>_VSA	duplikasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dusun<n>_VSA	dusun	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+dwibahasa<n>_VSA	dwibahasa	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+eksodus<n>_VSA	eksodus	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+ekspedisi<n>_VSA	ekspedisi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+elektron<n>_VSA	elektron	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+emas<n>_VSA	emas	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+embrio<n>_VSA	embrio	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+emosi<n>_VSA	emosi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+etika<n>_VSADASHsolidaristis<x>_X--	etika	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+evolusi<n>_VSADASHyang<s>_S--	evolusi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+falsafah<n>_VSA	falsafah	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+fisik<n>_VSA	fisik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+fitur<n>_VSA	fitur	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+fondasi<n>_VSA	fondasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+formasi<n>_VSA	formasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+fosil<n>_VSA	fosil	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+fotografi<n>_VSADASHselalu<d>_D--	fotografi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+futsal<n>_VSA	futsal	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gading<n>_VSA	gading	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gajah<n>_VSA	gajah	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+galur<n>_VSA	galur	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+garasi<n>_VSA	garasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gelanggang<n>_VSA	gelanggang	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gelas<n>_VSA	gelas	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+geliang-geliut<n>_VSA	geliang-geliut	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+geming<n>_VSADASHseperti<r>_R--	geming	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+georeferensi<n>_VSA	georeferensi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gerai<n>_VSA	gerai	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gerobak<n>_VSA	gerobak	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gestur<n>_VSA	gestur	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gizi<n>_VSADASHapel<n>_NSD	gizi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+golok<n>_VSA	golok	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+got<n>_VSA	got	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gradasi<n>_VSA	gradasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gumam<n>_VSADASHber+bisik<v>_VSA	gumam	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+gundik<n>_VSA	gundik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hakikat<n>_VSA	hakikat	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hamba<n>_VSA	hamba	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+harga<n>_VSADASHorang<n>_NSD	harga	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hari<n>_VSADASHhan<f>_F--	hari	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hazmat<n>_VSA	hazmat	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hektare<n>_VSA	hektare	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+hikmat<n>_VSA	hikmat	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+horoskop<n>_VSA	horoskop	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+ide<n>_VSA	ide	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+iga<n>_VSA	iga	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+imaji<n>_VSA	imaji	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+imam<n>_VSA	imam	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+imitasi<n>_VSA	imitasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+informasi<n>_VSA	informasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+instagram<n>_VSA	instagram	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+instalasi<n>_VSA	instalasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+interpretasi<n>_VSA	interpretasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+interupsi<n>_VSA	interupsi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+intervensi<n>_VSA	intervensi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+inti<n>_VSA	inti	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+istana<n>_VSA	istana	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+isu<n>_VSA	isu	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+iuran<n>_VSA	iuran	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+jalan<n>_VSADASHitu<b>_B--	jalan	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+jalin kelindan<n>_VSA	jalin kelindan	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+jasad<n>_VSA	jasad	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+jins<n>_VSA	jins	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+jurang<n>_VSA	jurang	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kaidah<n>_VSA	kaidah	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kalender<n>_VSA	kalender	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kalkulasi<n>_VSA	kalkulasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kambing<n>_VSA	kambing	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kampung<n>_VSA	kampung	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kamuflase<n>_VSA	kamuflase	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kapitalisasi<n>_VSA	kapitalisasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kartu<n>_VSA	kartu	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+karung<n>_VSA	karung	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kas<n>_VSADASHmasuk<v>_VSA	kas	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kasih<n>_VSADASHsayang<n>_NSD	kasih	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kata<n>_VSADASHkara<x>_X--	kata	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kayuh<n>_VSA	kayuh	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kedai<n>_VSA	kedai	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kening<n>_VSA	kening	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kerangka<n>_VSA	kerangka	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+keranjang<n>_VSA	keranjang	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kerikil<n>_VSA	kerikil	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kilo<n>_VSA	kilo	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+klasifikasi<n>_VSA	klasifikasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kluster<n>_VSA	kluster	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kolaborator<n>_VSA	kolaborator	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+kolom<n>_VSA	kolom	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+komedi<n>_VSA	komedi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+komplemen<n>_VSA	komplemen	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+komuter<n>_VSA	komuter	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+konfigurasi<n>_VSA	konfigurasi	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
ber+konfik<n>_VSA	konfik	n	ber-_0	ber-_n_0	ber-	0	TRUE	1
