root_morphind	di	me
mulai	2357	1463
mundur	1	0
naik	2	19
nanti	36	293
nego	1	0
nyala	1	446
olah	477	534
oles	6	7
olok	6	10
oper	8	23
pacu	63	361
pajang	76	55
pakai	1993	1788
paksa	323	699
pancang	1	2
pancing	12	277
pandang	1011	1542
pandu	111	154
panggang	30	21
panggil	654	795
pangkas	62	143
pangku	12	69
panjat	15	179
pantau	151	760
papar	33	1
papas	3	0
parkir	63	62
parut	4	7
pasang	357	604
pasok	62	147
patok	64	64
pecah	58	225
pecahbelah	1	11
pecat	126	60
pegang	317	1546
pelihara	271	1113
pelintir	12	12
peluk	63	616
pencar	2	2
pendam	8	76
penggal	10	25
peras	33	58
percaya	746	0
periksa	544	1081
perkosa	72	55
perlu	2	0
permak	3	2
petik	101	180
picu	244	844
pijit	1	12
pikat	1	127
pikir	27	4
pikul	29	133
pilah	33	98
pilih	1582	4949
pimpin	1395	1381
pinang	8	36
pindah	64	13
pindai	13	57
pingit	10	0
pinjam	61	374
pisah	25	22
pompa	23	93
potong	271	459
puja	26	65
puji	66	219
pukul	118	375
pungut	232	172
punya	4	13
pupus	1	7
pusing	1	0
putar	122	349
putus	134	263
racik	15	40
raih	553	1846
rajam	5	6
rajang	1	5
rajut	7	82
ramal	3	39
rambah	4	153
rampas	79	114
rampok	25	100
ramu	14	33
rancang	609	636
rangkai	46	75
rangkap	16	305
rangkul	29	165
rangkum	51	86
rangsang	82	342
raup	10	130
rawat	449	513
rayu	13	92
realisir	4	1
rebus	64	36
rebut	58	468
redam	27	200
redistribusi	1	2
regang	1	71
reka	7	0
rekam	77	212
rekat	4	4
rekrut	116	243
remas	15	70
rendam	67	37
renggut	17	106
rengkuh	10	56
rilis	129	150
rintis	126	200
rogoh	1	102
rombak	20	60
rubung	13	16
rujuk	110	844
sabet	9	59
saji	1	0
salin	57	45
samak	2	3
sambar	48	229
sambung	53	128
sambut	380	875
sampai	2	0
sandang	26	149
sandi	2	0
sanding	2	2
sangga	6	32
sanggah	6	31
sangka	100	325
sangkal	44	128
sangkut	2	1000
sanjung	6	12
santap	35	126
sapa	136	362
saring	79	77
sasar	23	144
sayat	3	48
sebar	79	576
sebut	6303	1281
sedot	20	98
seduh	10	32
sekap	38	20
selam	1	106
selesai	1	4
selidik	2	34
semai	9	15
sembelih	42	44
sembur	2	37
semprot	36	28
senggol	1	17
sentak	1	36
sentil	2	9
sentuh	91	834
sepak	3	13
serah	2	716
serang	236	1144
serap	223	637
serbu	43	237
seret	108	211
sergap	39	90
seruduk	10	21
seruput	1	62
