LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
nah menjadi inspirasi saya saat awal-awal memulai usaha. Hampir selalu saya	ceritakan	kepada teman-teman bahwa saya ingin hidup sesejahtera mereka. Rumahnya di	Biografi				
Aku	ceritakan	pada ibuku. Dia memelukku. Suatu hari, saat aku dinyatakan lulus dari SMA,	Cerpen				
Unit vimarsa diawali dengan	ceritakan	digunakanlah senjata panah utama bagai sinar matahari, hal itu menyebabkan	Disertasi_Tesis_Skripsi				
etail bagi topik tersebut dan	ceritakan	kembali kepada orang tuamu. Jelaskan kepada mereka secara terperinci tenta	Buku_Teks				
beberapa kata yang Anda ajarkan, maka dia pun dapat menangkap apa yang Anda	ceritakan	. Mulailah menceritakan pengalaman sehari-hari seperti aktivitas Anda setia	Populer	anda	pronomina	TRUE	
Nanti aku	ceritakan	", aku mau mandi sekarang."""" Lail sudah melangkah ke luar kamar. Dia masih me"	Novel				
agresif dalam men	ceritakan	diri sendiri. Sembari terus makan, masya allah dia minta tambah nasi, Kina	Novel				
akan kau	ceritakan	bahwa kemiskinan lebih dekat kepada kematian.***	Cerpen	kau	pronomina	FALSE	
3) Untuk melatih bahasa lisan kamu,	ceritakan	kasil kerja mandiri tersebut kepada teman yang duduk di sebelah kamu! Kemu	Buku_Teks				
ng penduduk, temui mereka, catat apa pun yang kalian bicarakan. Lakukan dan	ceritakan	"di depan semua malam nanti di sesi api unggun."""""	Biografi				
i internet, peninggalan candi-candi pada masa Sanjaya maupun Syailendra dan	ceritakan	!	Buku_Teks				
g... Kenapa kau tak	ceritakan	semua ini kepada kami?! Kenapa kau tak pernah menyampaikan kerinduan terha	Novel				
ya dan luar negeri sangat kagum dengan pabrik baru Slickbar Indonesia. Saya	ceritakan	ini semua agar kebanggaan saya bisa membangun pabrik modern dan megah juga	Biografi				
ali memaksakan diri menyisipkan pesan moral apa pun ke dalam kisah yang kau	ceritakan	kecuali kau sedang berhadapan dengan seorang terpidana mati yang tiga jam	Cerpen	kau	pronomina	TRUE	
