LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
Saya tidak terbiasa basa-basi, juga tidak biasa mengobral janji. Semua saya	ceritakan	kepada Anita apa adanya. Mengenai latar belakang keluarga, termasuk saat s	Biografi				
Aku	ceritakan	kejadian buruk itu pada Ibu, berharap tak pernah lagi bertemu dengan sepup	Cerpen				
l saya	ceritakan	sepenuh semangat bahwa saya merasa pohon jambu itu berbisik. Memang saya t	Cerpen				
ayan tadi malam dan langsung dijual di pasar keesokan paginya, itu yang Ibu	ceritakan	pada kami setelah pulang dari pasar tempo hari. Saat itu Ibu yang sejatiny	Novel	ibu	nomina_kerabat	TRUE	
daerah-daerah terparah lainnya, berdasarkan laporan dari kawan-kawan. Saya	ceritakan	maksud saya membuka asrama untuk menampung anak-anak korban tsunami.	Biografi				
a dan memperhatikan secara saksama. Tak ada bercak merah seperti sang nenek	ceritakan	. Namun ia ragu. Lampu kamar itu memancar remang-remang.	Cerpen	nenek	nomina_kerabat	FALSE	
apa orang yang baru saja saya	ceritakan	? Dialah Agus Pramono, pemilik brand Ayam Bakar Mas Mono. Dia lulusan S3, a	Populer	saya	pronomina	TRUE	
ngin melihat dia juga menderita. Agar kau paham duduk perkaranya, aku ingin	ceritakan	tentang sesuatu kepadamu.	Cerpen				
nceritakan betapa buruk jurai-ku. Seolah-olah, lidah mereka yang menuliskan	ceritakan	tentang hidup dan matiku. Aku benci, benar-benar benci mendengar lidah-lid	Cerpen				
Tak ada yang luar biasa untuk Emak	ceritakan	tentang Ebak-mu. Ia lelaki berahang keras dengan sorot mata elang, bertela	Cerpen	emak	nomina_kerabat	FALSE	
Itulah hal yang ingin aku	ceritakan	padamu dan demi Tuhan penguasa bumi dan langit, sedikit pun tak terpikirka	Cerpen	aku	pronomina	TRUE	
an dari makan siang kamu? Sebagian dari uang jajan kamu? Pakaian kamu? Coba	ceritakan	pengalaman kamu, dan bagaimana sikap orang tua kamu ketika mengetahui kamu	Buku_Teks				
khususnya dalam hal bercerita. Kata Wak Jamal sendiri, semua cerita yang ia	ceritakan	bukanlah busa mulut semata, semuanya ia kutip dari kitab kuning dengan hur	Cerpen	ia	pronomina	TRUE	
n, kenalkan diri Anda,	ceritakan	minat Anda, katakan bahwa Anda ingin menjadi penulis tamu di blog miliknya	Populer				
masih sama-sama bertugas di Lanud Iswahjudi, Madiun. Interaksi yang mereka	ceritakan	"mulai dari sosok Agus Supriatna yang suka """"mendidik"""" para juniornya, jahil"	Biografi	mereka	pronomina	TRUE	
ah-kisah yang Ayah ceritakan kepada jemaah Pengajian Tasawuf di rumah. Ayah	ceritakan	kisah-kisah tersebut agar semakin terbuka pemikiran dan pengetahuan kita t	Biografi				
Biar saya	ceritakan	: bersamaan dengan pingsannya Rani, Rayna Kumala menghantamkan martil ke ke	Cerpen				
a akan menemukan semua teman Anda yang asal-usulnya sama, seperti yang kami	ceritakan	sebelumnya.	Populer	kami	pronomina	TRUE	
